RNALocate_ID	Species	RNA_Symbol	RNA_Type	Subcellular_Localization	GO_Accession	PubMed_ID	RNALocate_Score
RL-E-m-0090332	Mus musculus	Gapdh	mRNA	Cytosolic ribosome	GO:0022626	12923260.0	0.836757224078988
RL-E-m-0090338	Mus musculus	Calr	mRNA	Cytosolic ribosome	GO:0022626	12923260.0	0.836757224078988
RL-E-m-0090345	Mus musculus	Sec61a1	mRNA	Cytosolic ribosome	GO:0022626	12923260.0	0.836757224078988
RL-E-m-0090349	Mus musculus	Ldha	mRNA	Cytosolic ribosome	GO:0022626	12923260.0	0.836757224078988
RL-E-m-0090350	Mus musculus	Hsp90b1	mRNA	Cytosolic ribosome	GO:0022626	12923260.0	0.836757224078988
RL-E-m-0090351	Mus musculus	Hspa5	mRNA	Cytosolic ribosome	GO:0022626	12923260.0	0.836757224078988
RL-E-m-0090354	Mus musculus	Hsp90ab1	mRNA	Cytosolic ribosome	GO:0022626	12923260.0	0.836757224078988
RL-E-m-0103033	Mus musculus	Actb	mRNA	Dendrite	GO:0030425	18539120.0	0.836757224078988
RL-E-m-0103034	Mus musculus	Actb	mRNA	Dendrite	GO:0030425	16317045.0	0.836757224078988
RL-E-m-0103037	Mus musculus	Ivns1abp	mRNA	Dendrite	GO:0030425	26938019.0	0.694505649698505
RL-E-m-0103044	Mus musculus	Ivns1abp	mRNA	Dendrite	GO:0030425	16317045.0	0.694505649698505
RL-E-m-0103046	Mus musculus	H2az1	mRNA	Dendrite	GO:0030425	25301173.0	0.694505649698505
RL-E-m-0103050	Mus musculus	Dscam	mRNA	Dendrite	GO:0030425	29078722.0	0.694505649698505
RL-E-m-0103054	Mus musculus	Zfp410	mRNA	Dendrite	GO:0030425	25301173.0	0.694505649698505
RL-E-m-0103055	Mus musculus	Clasrp	mRNA	Dendrite	GO:0030425	25301173.0	0.694505649698505
RL-E-m-0103057	Mus musculus	Camk2a	mRNA	Dendrite	GO:0030425	20713728.0	0.890460238360382
RL-E-m-0103060	Mus musculus	Olfm1	mRNA	Dendrite	GO:0030425	25301173.0	0.694505649698505
RL-E-m-0103061	Mus musculus	Map2	mRNA	Dendrite	GO:0030425	15328607.0	0.694505649698505
RL-E-m-0103064	Mus musculus	Uba52	mRNA	Dendrite	GO:0030425	25301173.0	0.694505649698505
RL-E-m-0103073	Mus musculus	En1	mRNA	Dendrite	GO:0030425	17399993.0	0.694505649698505
RL-E-m-0103078	Mus musculus	Mmp9	mRNA	Dendrite	GO:0030425	24227732.0	0.694505649698505
RL-E-m-0103082	Mus musculus	Camk2a	mRNA	Dendrite	GO:0030425	22768241.0	0.890460238360382
RL-E-m-0103092	Mus musculus	Bdnf	mRNA	Dendrite	GO:0030425	25692578.0	0.904945420481312
RL-E-m-0103097	Mus musculus	Elavl2	mRNA	Dendrite	GO:0030425	28300211.0	0.694505649698505
RL-E-m-0103099	Mus musculus	Eef1a1	mRNA	Dendrite	GO:0030425	29157358.0	0.795006069178413
RL-E-m-0103100	Mus musculus	Hnrnpk	mRNA	Dendrite	GO:0030425	25301173.0	0.694505649698505
RL-E-m-0103104	Mus musculus	Fmr1	mRNA	Dendrite	GO:0030425	18539120.0	0.694505649698505
RL-E-m-0103106	Mus musculus	Dscam	mRNA	Dendrite	GO:0030425	20926679.0	0.694505649698505
RL-E-m-0103110	Mus musculus	Iqsec2	mRNA	Dendrite	GO:0030425	18164504.0	0.694505649698505
RL-E-m-0103112	Mus musculus	Pcp2	mRNA	Dendrite	GO:0030425	12399102.0	0.694505649698505
RL-E-m-0103116	Mus musculus	Map1b	mRNA	Dendrite	GO:0030425	18539120.0	0.836757224078988
RL-E-m-0103117	Mus musculus	Dlg4	mRNA	Dendrite	GO:0030425	25948262.0	0.795006069178413
RL-E-m-0103123	Mus musculus	Ppp1r9b	mRNA	Dendrite	GO:0030425	22215810.0	0.694505649698505
RL-E-m-0103124	Mus musculus	Arhgdia	mRNA	Dendrite	GO:0030425	25301173.0	0.694505649698505
RL-E-m-0103132	Mus musculus	Commd3	mRNA	Dendrite	GO:0030425	25301173.0	0.694505649698505
RL-E-m-0103134	Mus musculus	CPER9	mRNA	Dendrite	GO:0030425	11985882.0	0.694505649698505
RL-E-m-0103138	Mus musculus	Map1b	mRNA	Dendrite	GO:0030425	16098134.0	0.836757224078988
RL-E-m-0103139	Mus musculus	Grin2a	mRNA	Dendrite	GO:0030425	23678131.0	0.694505649698505
RL-E-m-0103140	Mus musculus	Dlg4	mRNA	Dendrite	GO:0030425	29157358.0	0.795006069178413
RL-E-m-0103143	Mus musculus	Camk2a	mRNA	Dendrite	GO:0030425	26938019.0	0.890460238360382
RL-E-m-0103144	Mus musculus	Camkv	mRNA	Dendrite	GO:0030425	27796283.0	0.694505649698505
RL-E-m-0103154	Mus musculus	Arc	mRNA	Dendrite	GO:0030425	29944213.0	0.795006069178413
RL-E-m-0103155	Mus musculus	elongation factor 1 a (EF1a)	mRNA	Dendrite	GO:0030425	16079402.0	0.836757224078988
RL-E-m-0103157	Mus musculus	Rps6	mRNA	Dendrite	GO:0030425	25301173.0	0.694505649698505
RL-E-m-0103167	Mus musculus	Pcp2	mRNA	Dendrite	GO:0030425	9387927.0	0.694505649698505
RL-E-m-0103170	Mus musculus	Camk2a	mRNA	Dendrite	GO:0030425	29157358.0	0.890460238360382
RL-E-m-0103173	Mus musculus	Dlgap4	mRNA	Dendrite	GO:0030425	18539120.0	0.694505649698505
RL-E-m-0103178	Mus musculus	Bdnf	mRNA	Dendrite	GO:0030425	18614020.0	0.904945420481312
RL-E-m-0103182	Mus musculus	Camk2a	mRNA	Dendrite	GO:0030425	18539120.0	0.890460238360382
RL-E-m-0103183	Mus musculus	Rhoa	mRNA	Dendrite	GO:0030425	20035871.0	0.694505649698505
RL-E-m-0103196	Mus musculus	Arc	mRNA	Dendrite	GO:0030425	29157358.0	0.795006069178413
RL-E-m-0103197	Mus musculus	Map2	mRNA	Dendrite	GO:0030425	8647897.0	0.694505649698505
RL-E-m-0103198	Mus musculus	Kcnd2	mRNA	Dendrite	GO:0030425	22099464.0	0.694505649698505
RL-E-m-0103199	Mus musculus	Eef1a1	mRNA	Dendrite	GO:0030425	35741005.0	0.795006069178413
RL-E-m-0103201	Mus musculus	Gapdh	mRNA	Distal axon	GO:0150034	26518186.0	0.694505649698505
RL-E-m-0103204	Mus musculus	Itpr1	mRNA	Distal dendrite	GO:0150002	8081710.0	0.694505649698505
RL-E-m-0103208	Mus musculus	Ddc	mRNA	Dendrite	GO:0030425	35021090.0	0.694505649698505
RL-E-m-0103209	Mus musculus	Th	mRNA	Dendrite	GO:0030425	35021090.0	0.694505649698505
RL-E-m-0103210	Mus musculus	Slc6a3	mRNA	Dendrite	GO:0030425	35021090.0	0.694505649698505
RL-E-m-0103211	Mus musculus	Slc18a2	mRNA	Dendrite	GO:0030425	35021090.0	0.694505649698505
RL-E-m-0103925	Mus musculus	actin	mRNA	Endoplasmic reticulum	GO:0005783	15972000.0	0.694505649698505
RL-E-m-0103979	Mus musculus	Grin1	mRNA	Endoplasmic reticulum	GO:0005783	12853299.0	0.694505649698505
RL-E-m-0104166	Mus musculus	Cbx4	mRNA	Endoplasmic reticulum	GO:0005783	15972000.0	0.694505649698505
RL-E-m-0104283	Mus musculus	Ins2	mRNA	Endoplasmic reticulum	GO:0005783	15972000.0	0.694505649698505
RL-E-m-0104405	Mus musculus	Cpe	mRNA	Endoplasmic reticulum	GO:0005783	15972000.0	0.694505649698505
RL-E-m-0104627	Mus musculus	Nme3	mRNA	Endoplasmic reticulum	GO:0005783	11891645.0	0.694505649698505
RL-E-m-0104673	Mus musculus	Klk1	mRNA	Endoplasmic reticulum	GO:0005783	2033241.0	0.694505649698505
RL-E-m-0105127	Mus musculus	Hsp90b1	mRNA	Endoplasmic reticulum	GO:0005783	12923260.0	0.694505649698505
RL-E-m-0105385	Mus musculus	Hspa5	mRNA	organellar ribosome	GO:0000313	12923260.0	0.836757224078988
